Company Name,Industry,Symbol,Series,ISIN Code,Yahoo Symbol,Current Price (INR),1Y Return,Annualised Volatility,Maximum Drawdown,Price Observations,Price Start,Price End,Price Error,Trailing PE,Market Cap (INR),Market Cap (INR Crore),Yahoo Sector,Yahoo Industry,Currency,Fundamental Error,Fundamental As Of,Data Complete,Value Score,Momentum Score,Value Contribution,Momentum Contribution,Composite Score,Momentum Efficiency,Screen Result,Passed
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,INDIGO.NS,5021.5,-0.045724536309307506,0.32489049193312175,-0.35935342376736257,249,2025-06-19,2026-06-19,,,1941600600064,194160.0600064,Industrials,Airlines,INR,,2026-06-19,False,,,,,,-0.14073830242689847,Missing trailing P/E; 1Y return below 10%,False
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,INFY.NS,1051.4000244140625,-0.32612723739338745,0.27600559029331995,-0.36433207504614884,250,2025-06-19,2026-06-19,,13.825115,4256703447040,425670.344704,Technology,Information Technology Services,INR,,2026-06-19,True,85.41666666666666,4.166666666666666,38.4375,2.2916666666666665,40.729166666666664,-1.1815964924724953,1Y return below 10%,False
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,IOC.NS,143.42999267578125,0.10281639824132771,0.2583808094254801,-0.288036217735986,250,2025-06-19,2026-06-19,,4.6918545,2025409085440,202540.908544,Energy,Oil & Gas Refining & Marketing,INR,,2026-06-19,True,100.0,56.25,45.0,30.937500000000004,75.9375,0.397925830753236,Passed all filters,True
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,IRFC.NS,99.51000213623047,-0.23371393710343902,0.2811349725822195,-0.37268896894030434,250,2025-06-19,2026-06-19,,18.565298,1300447100928,130044.7100928,Financial Services,Credit Services,INR,,2026-06-19,True,70.83333333333334,11.458333333333332,31.875000000000004,6.302083333333333,38.177083333333336,-0.8313228872124334,1Y return below 10%,False
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ITC.NS,292.5,-0.26258227305838355,0.19135462738462058,-0.3158035656136102,250,2025-06-19,2026-06-19,,17.716536,3664869588992,366486.9588992,Consumer Defensive,Tobacco,INR,,2026-06-19,True,73.95833333333334,9.375,33.28125000000001,5.15625,38.43750000000001,-1.3722284987161362,1Y return below 10%,False
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,JINDALSTEL.NS,1137.699951171875,0.28453091348175175,0.2773361139990497,-0.13012109473046118,250,2025-06-19,2026-06-19,,34.299065,1157596184576,115759.6184576,Basic Materials,Steel,INR,,2026-06-19,True,48.95833333333333,81.25,22.03125,44.68750000000001,66.71875,1.0259425264851252,P/E above 30,False
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,JIOFIN.NS,244.4499969482422,-0.13822184112892077,0.2696810737801595,-0.32779434649676864,250,2025-06-19,2026-06-19,,101.01239,1614137917440,161413.791744,Financial Services,Asset Management,INR,,2026-06-19,True,5.208333333333334,20.833333333333336,2.3437500000000004,11.458333333333336,13.802083333333336,-0.512538159209487,P/E above 30; 1Y return below 10%,False
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,JSWSTEEL.NS,1287.699951171875,0.29628785823266646,0.2312149897788631,-0.13353115981574115,250,2025-06-19,2026-06-19,,14.113327,3143052558336,314305.2558336,Basic Materials,Steel,INR,,2026-06-19,True,84.375,82.29166666666666,37.96875,45.260416666666664,83.22916666666666,1.2814387964899674,Passed all filters,True
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,KOTAKBANK.NS,399.25,-0.06888207408048486,0.21213222295925013,-0.20646064942269005,250,2025-06-19,2026-06-19,,20.61177,3971126132736,397112.6132736,Financial Services,Banks - Regional,INR,,2026-06-19,True,67.70833333333334,27.083333333333332,30.468750000000004,14.895833333333334,45.364583333333336,-0.324712922532834,1Y return below 10%,False
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,LODHA.NS,918.1500244140625,-0.3537418093065833,0.34342667084556194,-0.5420499064651163,250,2025-06-19,2026-06-19,,26.815128,917153972224,91715.3972224,Real Estate,Real Estate - Development,INR,,2026-06-19,True,58.333333333333336,3.125,26.25,1.7187500000000002,27.96875,-1.030035927132928,1Y return below 10%,False
